Contrast	Geneid	log2FoldChange	padj	DEG
232847	Cell2 - Cond1 vs Cond3	Ccdc122	0.38	0.51012257307535	NS
496771	Cell2 - Cond4 vs Cond3	Gm38183	NA	NA	NS
339876	Cell2 - Cond2 vs Cond3	Dclre1b	-0.57	0.25541615304446	NS
62274	Cell1 - Cond1 vs Cond3	C030034I22Rik	0.82	0.124400066915802	NS
239356	Cell2 - Cond1 vs Cond3	Gm17965	-0.01	NA	NS
380669	Cell2 - Cond2 vs Cond3	Gm16195	0	NA	NS
421939	Cell2 - Cond2 vs Cond4	Cd3e	0.04	NA	NS
304358	Cell2 - Cond1 vs Cond4	Igkv3-12	NA	NA	NS
292652	Cell2 - Cond1 vs Cond4	Gm23762	NA	NA	NS
459053	Cell2 - Cond4 vs Cond3	Pip4p2	0.01	NA	NS
47630	Cell1 - Cond1 vs Cond2	Gm18825	0.01	NA	NS
426496	Cell2 - Cond2 vs Cond4	Gm22423	NA	NA	NS
370073	Cell2 - Cond2 vs Cond3	Gm26393	NA	NA	NS
58093	Cell1 - Cond1 vs Cond3	Ndufc1	-0.68	0.00163285368806504	NS
315385	Cell2 - Cond1 vs Cond4	Gm12230	0.01	NA	NS
418001	Cell2 - Cond2 vs Cond4	Gm26176	-0.02	NA	NS
184486	Cell2 - Cond1 vs Cond2	Gm35066	0.01	NA	NS
85215	Cell1 - Cond1 vs Cond3	Gm44660	0.01	NA	NS
444576	Cell2 - Cond4 vs Cond3	Caskin2	0.05	0.604146691589071	NS
252591	Cell2 - Cond1 vs Cond3	Snurf	NA	NA	NS
59335	Cell1 - Cond1 vs Cond3	Gan	0.66	0.0123653790296845	NS
468261	Cell2 - Cond4 vs Cond3	Tshz3	0.01	NA	NS
215163	Cell2 - Cond1 vs Cond2	Gm23905	-0.01	NA	NS
446445	Cell2 - Cond4 vs Cond3	Fam214a	0.02	0.833499981560778	NS
293109	Cell2 - Cond1 vs Cond4	Klhl30	0.03	NA	NS
43255	Cell1 - Cond1 vs Cond2	Gapt	-0.02	NA	NS
333879	Cell2 - Cond2 vs Cond3	Dync2h1	1.2	0.00200360266933337	Upregulated
188923	Cell2 - Cond1 vs Cond2	4930553I04Rik	-0.01	NA	NS
348405	Cell2 - Cond2 vs Cond3	Pou2f3-rs1	0.03	NA	NS
327647	Cell2 - Cond1 vs Cond4	Mir6994	NA	NA	NS
380895	Cell2 - Cond2 vs Cond3	Gm8801	0.07	NA	NS
232815	Cell2 - Cond1 vs Cond3	A430073D23Rik	0.44	0.507566046905845	NS
60159	Cell1 - Cond1 vs Cond3	Cops4	-0.4	0.0286293184338843	NS
485639	Cell2 - Cond4 vs Cond3	Gm49342	NA	NA	NS
318616	Cell2 - Cond1 vs Cond4	Gm22689	NA	NA	NS
210841	Cell2 - Cond1 vs Cond2	Gm5210	-0.02	NA	NS
195739	Cell2 - Cond1 vs Cond2	Olfr533	0	NA	NS
66257	Cell1 - Cond1 vs Cond3	Gm48194	0.41	0.478139209204195	NS
245106	Cell2 - Cond1 vs Cond3	Gm13271	NA	NA	NS
145916	Cell1 - Cond2 vs Cond3	Olfr916	0.03	NA	NS
414110	Cell2 - Cond2 vs Cond4	Hottip	-0.02	NA	NS
420307	Cell2 - Cond2 vs Cond4	Gm19170	0.02	NA	NS
447823	Cell2 - Cond4 vs Cond3	Scg3	-0.02	0.921558134335703	NS
105953	Cell1 - Cond1 vs Cond3	AC168212.1	0.05	NA	NS
456192	Cell2 - Cond4 vs Cond3	Gm11011	0	NA	NS
136493	Cell1 - Cond2 vs Cond3	Gm18451	-0.01	NA	NS
448719	Cell2 - Cond4 vs Cond3	Fnip1	-0.05	0.952457210497268	NS
299703	Cell2 - Cond1 vs Cond4	Mir3095	NA	NA	NS
437130	Cell2 - Cond2 vs Cond4	AC125091.1	-0.01	NA	NS
451054	Cell2 - Cond4 vs Cond3	Trak2	0.05	NA	NS
453882	Cell2 - Cond4 vs Cond3	9430024E24Rik	0	NA	NS
80053	Cell1 - Cond1 vs Cond3	Morn1	0.05	NA	NS
221315	Cell2 - Cond1 vs Cond2	Gm29393	NA	NA	NS
298545	Cell2 - Cond1 vs Cond4	Gm9317	0.06	NA	NS
382982	Cell2 - Cond2 vs Cond3	Gm45119	NA	NA	NS
259772	Cell2 - Cond1 vs Cond3	Pkd1l1	0.05	NA	NS
105581	Cell1 - Cond1 vs Cond3	Gm25036	NA	NA	NS
378696	Cell2 - Cond2 vs Cond3	Gm22818	-0.03	NA	NS
35042	Cell1 - Cond1 vs Cond2	Gm32281	-0.03	NA	NS
450166	Cell2 - Cond4 vs Cond3	Uhrf2	0.07	0.997140214852061	NS
440861	Cell2 - Cond2 vs Cond4	Gm15096	NA	NA	NS
407851	Cell2 - Cond2 vs Cond4	Gm37603	0.01	NA	NS
153969	Cell1 - Cond2 vs Cond3	Gm48167	NA	NA	NS
135654	Cell1 - Cond2 vs Cond3	Zfp989	-0.04	NA	NS
361547	Cell2 - Cond2 vs Cond3	Vmn1r-ps79	NA	NA	NS
252713	Cell2 - Cond1 vs Cond3	Gm16158	NA	NA	NS
104440	Cell1 - Cond1 vs Cond3	AC192777.1	NA	NA	NS
232444	Cell2 - Cond1 vs Cond3	Mtus2	-0.34	0.466256020566744	NS
353896	Cell2 - Cond2 vs Cond3	Gm15551	0.04	NA	NS
358125	Cell2 - Cond2 vs Cond3	Gm42443	-0.01	NA	NS
236464	Cell2 - Cond1 vs Cond3	Cks2	-0.26	0.900586373445172	NS
377396	Cell2 - Cond2 vs Cond3	Mir759	NA	NA	NS
496727	Cell2 - Cond4 vs Cond3	Gm37231	NA	NA	NS
61162	Cell1 - Cond1 vs Cond3	Ccdc82	-0.36	0.0617640505394565	NS
167520	Cell2 - Cond1 vs Cond2	Lrrn3	0.12	0.293541888596669	NS
194724	Cell2 - Cond1 vs Cond2	Gm23479	NA	NA	NS
19684	Cell1 - Cond1 vs Cond2	Gm37526	-0.02	NA	NS
432102	Cell2 - Cond2 vs Cond4	Traj52	NA	NA	NS
169428	Cell2 - Cond1 vs Cond2	Ptger4	0.17	0.705139206134177	NS
135836	Cell1 - Cond2 vs Cond3	Gm43111	0	NA	NS
242676	Cell2 - Cond1 vs Cond3	Gm2136	-0.07	NA	NS
419313	Cell2 - Cond2 vs Cond4	Olfr542-ps1	0	NA	NS
280320	Cell2 - Cond1 vs Cond4	Eif2b1	-0.52	0.0287646944382405	NS
497102	Cell2 - Cond4 vs Cond3	Gm21896	NA	NA	NS
118552	Cell1 - Cond2 vs Cond3	Serpina1e	0.4	0.187888598323402	NS
448470	Cell2 - Cond4 vs Cond3	6330562C20Rik	0.01	0.944853075323556	NS
160651	Cell1 - Cond2 vs Cond3	AC158774.1	0.04	NA	NS
381635	Cell2 - Cond2 vs Cond3	Gm26005	0.04	NA	NS
454638	Cell2 - Cond4 vs Cond3	Olfr1086	0	NA	NS
217799	Cell2 - Cond1 vs Cond2	Gm6956	NA	NA	NS
441502	Cell2 - Cond2 vs Cond4	Gm37723	NA	NA	NS
382003	Cell2 - Cond2 vs Cond3	Gm10548	0.26	NA	NS
135884	Cell1 - Cond2 vs Cond3	Gm40264	-0.21	NA	NS
375439	Cell2 - Cond2 vs Cond3	Gm48090	-0.01	NA	NS
123362	Cell1 - Cond2 vs Cond3	Plekhg4	0.19	0.625655522912211	NS
256886	Cell2 - Cond1 vs Cond3	Fbxl22	-0.03	NA	NS
404218	Cell2 - Cond2 vs Cond4	1700007P06Rik	0	NA	NS
251808	Cell2 - Cond1 vs Cond3	Scgb1b18	NA	NA	NS
250236	Cell2 - Cond1 vs Cond3	4921513H07Rik	0.01	NA	NS
452861	Cell2 - Cond4 vs Cond3	Olfr414	0	NA	NS
75957	Cell1 - Cond1 vs Cond3	Ankrd60	-0.06	NA	NS
440259	Cell2 - Cond2 vs Cond4	Dmrtc1a	0.02	NA	NS
368136	Cell2 - Cond2 vs Cond3	Xcr1	0.18	NA	NS
491195	Cell2 - Cond4 vs Cond3	Gm22654	NA	NA	NS
302861	Cell2 - Cond1 vs Cond4	4933438B17Rik	-0.04	NA	NS
353514	Cell2 - Cond2 vs Cond3	Hsd3b2	-0.18	NA	NS
430619	Cell2 - Cond2 vs Cond4	Gm41031	0	NA	NS
263273	Cell2 - Cond1 vs Cond3	Ighv1-57	-0.01	NA	NS
175023	Cell2 - Cond1 vs Cond2	Spry4	-0.03	0.983328263349205	NS
394979	Cell2 - Cond2 vs Cond4	Prelid1	-0.31	0.336283104580827	NS
97561	Cell1 - Cond1 vs Cond3	Sfrp4	-0.12	NA	NS
241200	Cell2 - Cond1 vs Cond3	Gm15130	0.05	NA	NS
443991	Cell2 - Cond4 vs Cond3	Camsap1	-0.09	0.457319469007433	NS
107591	Cell1 - Cond1 vs Cond3	Gm14594	NA	NA	NS
405971	Cell2 - Cond2 vs Cond4	Platr8	0	NA	NS
132964	Cell1 - Cond2 vs Cond3	Crnn	0.05	NA	NS
26293	Cell1 - Cond1 vs Cond2	Stk31	-0.02	NA	NS
189567	Cell2 - Cond1 vs Cond2	Gm23648	NA	NA	NS
253310	Cell2 - Cond1 vs Cond3	Olfr615	0.08	NA	NS
67253	Cell1 - Cond1 vs Cond3	Rnf225	0.33	0.577810053661838	NS
360613	Cell2 - Cond2 vs Cond3	Tas2r117	0.03	NA	NS
168476	Cell2 - Cond1 vs Cond2	Adm2	0.11	0.555360199178748	NS
322275	Cell2 - Cond1 vs Cond4	Gm34907	-0.05	NA	NS
369559	Cell2 - Cond2 vs Cond3	Gm17870	0	NA	NS
270124	Cell2 - Cond1 vs Cond3	AC166166.1	-0.01	NA	NS
78133	Cell1 - Cond1 vs Cond3	Gm5550	0.06	NA	NS
484930	Cell2 - Cond4 vs Cond3	Gm30108	0.01	NA	NS
124411	Cell1 - Cond2 vs Cond3	BC037032	0.17	0.73356878626995	NS
383029	Cell2 - Cond2 vs Cond3	Gm49772	NA	NA	NS
273570	Cell2 - Cond1 vs Cond3	Mir363	NA	NA	NS
475713	Cell2 - Cond4 vs Cond3	Gm17229	0	NA	NS
476118	Cell2 - Cond4 vs Cond3	Gm47433	0	NA	NS
193444	Cell2 - Cond1 vs Cond2	Gm2108	0	NA	NS
469661	Cell2 - Cond4 vs Cond3	Bc1-ps1	NA	NA	NS
67777	Cell1 - Cond1 vs Cond3	Gramd1c	-0.25	0.633748320534839	NS
51836	Cell1 - Cond1 vs Cond2	Gm4732	NA	NA	NS
281558	Cell2 - Cond1 vs Cond4	1810065E05Rik	-0.4	0.0715322937988075	NS
240353	Cell2 - Cond1 vs Cond3	Gm13503	0.05	NA	NS
175972	Cell2 - Cond1 vs Cond2	Ypel2	-0.1	0.990789538943583	NS
474393	Cell2 - Cond4 vs Cond3	Aqp9	0.01	NA	NS
228728	Cell2 - Cond1 vs Cond3	Krt18	-0.39	0.13281522085882	NS
78460	Cell1 - Cond1 vs Cond3	Tmem215	-0.06	NA	NS
1299	Cell1 - Cond1 vs Cond2	Ffar3	-1.44	0.0106482768558732	Downregulated
116417	Cell1 - Cond2 vs Cond3	Gm13815	0.68	0.0655364902148688	NS
131079	Cell1 - Cond2 vs Cond3	Gm10774	NA	NA	NS
357528	Cell2 - Cond2 vs Cond3	Gm24623	0	NA	NS
299989	Cell2 - Cond1 vs Cond4	Ifna7	NA	NA	NS
420988	Cell2 - Cond2 vs Cond4	Gm26971	0.02	NA	NS
235296	Cell2 - Cond1 vs Cond3	Atp10b	-0.03	0.769649779429825	NS
311235	Cell2 - Cond1 vs Cond4	Glb1l3	0.12	NA	NS
156587	Cell1 - Cond2 vs Cond3	2610035F20Rik	0	NA	NS
371127	Cell2 - Cond2 vs Cond3	Snord4a	NA	NA	NS
480516	Cell2 - Cond4 vs Cond3	Gm20336	0	NA	NS
30533	Cell1 - Cond1 vs Cond2	Vmn2r-ps81	NA	NA	NS
69687	Cell1 - Cond1 vs Cond3	Usp43	0.06	0.830501269094702	NS
362915	Cell2 - Cond2 vs Cond3	Gm45080	0.1	NA	NS
257129	Cell2 - Cond1 vs Cond3	Elovl4	0.05	NA	NS
171627	Cell2 - Cond1 vs Cond2	Ccdc166	0.06	0.895184874388129	NS
244029	Cell2 - Cond1 vs Cond3	Adh6b	-0.04	NA	NS
160949	Cell1 - Cond2 vs Cond3	AC122852.1	-0.01	NA	NS
188248	Cell2 - Cond1 vs Cond2	Gm6468	NA	NA	NS
100125	Cell1 - Cond1 vs Cond3	Vmn2r89	-0.14	NA	NS
43158	Cell1 - Cond1 vs Cond2	1700024P04Rik	0.02	NA	NS
485321	Cell2 - Cond4 vs Cond3	Gm10377	NA	NA	NS
164159	Cell1 - Cond2 vs Cond3	Gm8320	NA	NA	NS
462922	Cell2 - Cond4 vs Cond3	Gm23173	0	NA	NS
369113	Cell2 - Cond2 vs Cond3	Gm10318	0.04	NA	NS
281786	Cell2 - Cond1 vs Cond4	Ndufs7	-0.48	0.0812167761768228	NS
204129	Cell2 - Cond1 vs Cond2	Rps12-ps26	-0.01	NA	NS
347293	Cell2 - Cond2 vs Cond3	Kcnq5	0.14	NA	NS
279709	Cell2 - Cond1 vs Cond4	Cacng4	2.54	0.0154254303756819	Upregulated
462997	Cell2 - Cond4 vs Cond3	Gm43302	NA	NA	NS
431556	Cell2 - Cond2 vs Cond4	Gm8032	NA	NA	NS
425711	Cell2 - Cond2 vs Cond4	Gm12206	0.01	NA	NS
29881	Cell1 - Cond1 vs Cond2	Gm44560	-0.01	NA	NS
238482	Cell2 - Cond1 vs Cond3	Cdh20	0.07	NA	NS
358613	Cell2 - Cond2 vs Cond3	Gm44039	0.03	NA	NS
107037	Cell1 - Cond1 vs Cond3	Ssxb10	-0.01	NA	NS
87232	Cell1 - Cond1 vs Cond3	Olfr610	NA	NA	NS
256943	Cell2 - Cond1 vs Cond3	Rpl15-ps2	0.22	NA	NS
258141	Cell2 - Cond1 vs Cond3	Gm25596	0.03	NA	NS
26539	Cell1 - Cond1 vs Cond2	Vmn1r33	0.01	NA	NS
149450	Cell1 - Cond2 vs Cond3	Ccdc85a	0.07	NA	NS
405706	Cell2 - Cond2 vs Cond4	Olfr1218	0.03	NA	NS
317665	Cell2 - Cond1 vs Cond4	Prox2os	0.25	NA	NS
420402	Cell2 - Cond2 vs Cond4	F2rl3	0.03	NA	NS
31316	Cell1 - Cond1 vs Cond2	Gm44664	0.02	NA	NS
85835	Cell1 - Cond1 vs Cond3	Gm9226	NA	NA	NS
244395	Cell2 - Cond1 vs Cond3	Gm11864	0.04	NA	NS
215005	Cell2 - Cond1 vs Cond2	AC154721.1	-0.01	NA	NS
467171	Cell2 - Cond4 vs Cond3	Gm18781	NA	NA	NS
71512	Cell1 - Cond1 vs Cond3	Il1r2	-0.01	NA	NS
386079	Cell2 - Cond2 vs Cond3	Gm20836	NA	NA	NS
250358	Cell2 - Cond1 vs Cond3	Gm33962	0.07	NA	NS
93864	Cell1 - Cond1 vs Cond3	n-R5s68	NA	NA	NS
369689	Cell2 - Cond2 vs Cond3	Gm22236	NA	NA	NS
267288	Cell2 - Cond1 vs Cond3	Gm29742	0.06	NA	NS
167445	Cell2 - Cond1 vs Cond2	Gm12320	-0.48	0.269541784344706	NS
247416	Cell2 - Cond1 vs Cond3	Gm7993	-0.05	NA	NS
388046	Cell2 - Cond2 vs Cond4	Dhrs7	-0.92	0.000174709012541464	NS
236341	Cell2 - Cond1 vs Cond3	Gm12195	0.19	0.886275684804319	NS
300858	Cell2 - Cond1 vs Cond4	Gm13120	0.04	NA	NS
151225	Cell1 - Cond2 vs Cond3	Gm4425	-0.03	NA	NS
482715	Cell2 - Cond4 vs Cond3	Hist1h2ak	0	NA	NS
340590	Cell2 - Cond2 vs Cond3	Vsig2	-0.44	0.313292362319121	NS
98603	Cell1 - Cond1 vs Cond3	Gm47655	-0.02	NA	NS
217731	Cell2 - Cond1 vs Cond2	n-R5s5	NA	NA	NS
191958	Cell2 - Cond1 vs Cond2	Gm17216	NA	NA	NS
340089	Cell2 - Cond2 vs Cond3	Upk3b	-0.52	0.270343942602925	NS
346671	Cell2 - Cond2 vs Cond3	Ighmbp2	0.08	0.931713723693084	NS
282593	Cell2 - Cond1 vs Cond4	Slc23a1	0.82	0.124411243780817	NS
330063	Cell2 - Cond1 vs Cond4	Gm15012	0.05	NA	NS
139445	Cell1 - Cond2 vs Cond3	Gm44169	0.04	NA	NS
58011	Cell1 - Cond1 vs Cond3	Mrpl41	-0.66	0.00137624098867304	NS
168205	Cell2 - Cond1 vs Cond2	Ptafr	0.08	0.494229124668604	NS
29637	Cell1 - Cond1 vs Cond2	Gm45669	NA	NA	NS
115026	Cell1 - Cond2 vs Cond3	Amot	0.49	0.0206725272803788	NS
136404	Cell1 - Cond2 vs Cond3	Gm17824	0.12	NA	NS
268743	Cell2 - Cond1 vs Cond3	Gm9536	0.1	NA	NS
123677	Cell1 - Cond2 vs Cond3	Gm16401	-0.18	0.657674727938393	NS
280094	Cell2 - Cond1 vs Cond4	Ect2	0.57	0.022523982012354	NS
22076	Cell1 - Cond1 vs Cond2	Gm11246	-0.05	NA	NS
154511	Cell1 - Cond2 vs Cond3	Gm15324	NA	NA	NS
182036	Cell2 - Cond1 vs Cond2	Gm25569	0	NA	NS
163776	Cell1 - Cond2 vs Cond3	Gm14904	NA	NA	NS
311323	Cell2 - Cond1 vs Cond4	2610105M22Rik	0.04	NA	NS
257394	Cell2 - Cond1 vs Cond3	Gm37945	-0.05	NA	NS
307132	Cell2 - Cond1 vs Cond4	Napsa	-0.04	NA	NS
249522	Cell2 - Cond1 vs Cond3	Gm6072	0.07	NA	NS
304287	Cell2 - Cond1 vs Cond4	Igkv13-57-1	0.05	NA	NS
335493	Cell2 - Cond2 vs Cond3	Gm28791	1	0.0232027753010349	Upregulated
250111	Cell2 - Cond1 vs Cond3	Gm4482	-0.06	NA	NS
234290	Cell2 - Cond1 vs Cond3	Glt1d1	0.43	0.672112890048482	NS
187023	Cell2 - Cond1 vs Cond2	Gm3321	0.01	NA	NS
494230	Cell2 - Cond4 vs Cond3	Gm14862	NA	NA	NS
283974	Cell2 - Cond1 vs Cond4	Ccar2	0.44	0.221476976188161	NS
376417	Cell2 - Cond2 vs Cond3	Gm17155	0	NA	NS
415873	Cell2 - Cond2 vs Cond4	Gm25349	NA	NA	NS
470955	Cell2 - Cond4 vs Cond3	Dhcr7	-0.01	NA	NS
125945	Cell1 - Cond2 vs Cond3	Ankrd16	-0.06	0.889320857567519	NS
390573	Cell2 - Cond2 vs Cond4	Mctp2	0.74	0.0465192303517586	NS
97856	Cell1 - Cond1 vs Cond3	Gm11380	0.13	NA	NS
485686	Cell2 - Cond4 vs Cond3	Ear6	0	NA	NS
224619	Cell2 - Cond1 vs Cond3	Actr10	-0.57	0.00621049565632016	NS
377063	Cell2 - Cond2 vs Cond3	Gm10873	0.1	NA	NS
281510	Cell2 - Cond1 vs Cond4	Psme1	-0.49	0.0689807305763048	NS
443464	Cell2 - Cond4 vs Cond3	Acad12	0.07	0.256969323057973	NS
173963	Cell2 - Cond1 vs Cond2	Lamc1	0.06	0.965955549509479	NS
48267	Cell1 - Cond1 vs Cond2	Gm7052	0	NA	NS
411205	Cell2 - Cond2 vs Cond4	Gm43112	-0.05	NA	NS
326726	Cell2 - Cond1 vs Cond4	Pcdha9	-0.02	NA	NS
330045	Cell2 - Cond1 vs Cond4	Gm24675	NA	NA	NS
497274	Cell2 - Cond4 vs Cond3	Gm21256	NA	NA	NS
1170	Cell1 - Cond1 vs Cond2	Ccdc136	2.13	0.00752904508484514	Upregulated
39408	Cell1 - Cond1 vs Cond2	Gm11725	0.03	NA	NS
301454	Cell2 - Cond1 vs Cond4	Gm5551	0.06	NA	NS
185652	Cell2 - Cond1 vs Cond2	Gm12635	0.01	NA	NS
359194	Cell2 - Cond2 vs Cond3	Tril	0.28	NA	NS
315632	Cell2 - Cond1 vs Cond4	Mir467f	-0.08	NA	NS
44369	Cell1 - Cond1 vs Cond2	Olfr731	-0.01	NA	NS
487466	Cell2 - Cond4 vs Cond3	Gm25875	NA	NA	NS
38380	Cell1 - Cond1 vs Cond2	Shisa6	-0.03	NA	NS
171040	Cell2 - Cond1 vs Cond2	Lrrc39	-0.06	0.852759031423447	NS
63336	Cell1 - Cond1 vs Cond3	Faxc	0.78	0.198986560865441	NS
128250	Cell1 - Cond2 vs Cond3	Gm28168	0	NA	NS
67716	Cell1 - Cond1 vs Cond3	Zfp58	0.28	0.627424822883662	NS
404045	Cell2 - Cond2 vs Cond4	Fmn2	0.16	NA	NS
312305	Cell2 - Cond1 vs Cond4	Gm29604	NA	NA	NS
341563	Cell2 - Cond2 vs Cond3	Zfp94	0.4	0.403290134016205	NS
241742	Cell2 - Cond1 vs Cond3	1700030C14Rik	-0.08	NA	NS
252561	Cell2 - Cond1 vs Cond3	Gm26246	NA	NA	NS
49806	Cell1 - Cond1 vs Cond2	AC122271.1	0.01	NA	NS
58270	Cell1 - Cond1 vs Cond3	Gngt2	-1.02	0.00227595508532276	Downregulated
304285	Cell2 - Cond1 vs Cond4	Igkv13-57-2	-0.01	NA	NS
119476	Cell1 - Cond2 vs Cond3	Ifit1bl1	0.4	0.260750937353932	NS
310121	Cell2 - Cond1 vs Cond4	Gm29705	-0.01	NA	NS
328032	Cell2 - Cond1 vs Cond4	Gm16027	-0.01	NA	NS
83596	Cell1 - Cond1 vs Cond3	Gm1965	0.08	NA	NS
387514	Cell2 - Cond2 vs Cond4	Kit	2.02	6.13088107673467e-09	Upregulated
224616	Cell2 - Cond1 vs Cond3	Adora1	1.1	0.00619873429578913	Upregulated
198927	Cell2 - Cond1 vs Cond2	Gm15507	0	NA	NS
360037	Cell2 - Cond2 vs Cond3	4930595O18Rik	-0.01	NA	NS
17149	Cell1 - Cond1 vs Cond2	Zeb2os	0.03	NA	NS
92949	Cell1 - Cond1 vs Cond3	Pmch	0.16	NA	NS
401288	Cell2 - Cond2 vs Cond4	Asprv1	0.03	0.919157361671856	NS
184537	Cell2 - Cond1 vs Cond2	Gm43469	0.01	NA	NS
20019	Cell1 - Cond1 vs Cond2	Rxfp1	-0.06	NA	NS
226002	Cell2 - Cond1 vs Cond3	Lpar1	-0.71	0.0251282112705205	NS
269090	Cell2 - Cond1 vs Cond3	Mir6363	NA	NA	NS
341313	Cell2 - Cond2 vs Cond3	AI480526	0.42	0.384214379047519	NS
409338	Cell2 - Cond2 vs Cond4	Gm30731	-0.03	NA	NS
157903	Cell1 - Cond2 vs Cond3	Gm22224	NA	NA	NS
198340	Cell2 - Cond1 vs Cond2	Gm48348	0.01	NA	NS
33026	Cell1 - Cond1 vs Cond2	Gm45909	-0.01	NA	NS
392679	Cell2 - Cond2 vs Cond4	Skap2	-0.37	0.156865883158686	NS
284956	Cell2 - Cond1 vs Cond4	Slc25a47	0.53	0.301116717443245	NS
200353	Cell2 - Cond1 vs Cond2	Gm47787	0	NA	NS
362125	Cell2 - Cond2 vs Cond3	D530033B14Rik	NA	NA	NS
111088	Cell1 - Cond2 vs Cond3	Vdac2	-0.94	3.75832621582653e-09	NS
185388	Cell2 - Cond1 vs Cond2	Mup-ps20	NA	NA	NS
87331	Cell1 - Cond1 vs Cond3	Olfr666	0.06	NA	NS
191285	Cell2 - Cond1 vs Cond2	Gm25535	0	NA	NS
278682	Cell2 - Cond1 vs Cond4	Bend5	3.52	0.00283028894175682	Upregulated
7597	Cell1 - Cond1 vs Cond2	Cip2a	-0.14	0.548433792400676	NS
287920	Cell2 - Cond1 vs Cond4	Neil2	0.27	0.592235864372885	NS
478782	Cell2 - Cond4 vs Cond3	Tmem107	0.02	NA	NS
155789	Cell1 - Cond2 vs Cond3	Trav23	NA	NA	NS
338758	Cell2 - Cond2 vs Cond3	Rfxank	-0.48	0.169431676495441	NS
189751	Cell2 - Cond1 vs Cond2	Gm43443	-0.01	NA	NS
265723	Cell2 - Cond1 vs Cond3	Gdf10	0.03	NA	NS
326910	Cell2 - Cond1 vs Cond4	AC141639.3	-0.03	NA	NS
493662	Cell2 - Cond4 vs Cond3	Gm23075	NA	NA	NS
225810	Cell2 - Cond1 vs Cond3	Rps6ka2	2.67	0.0215526635926465	Upregulated
399813	Cell2 - Cond2 vs Cond4	Vps37d	-0.15	0.775164271056793	NS
461981	Cell2 - Cond4 vs Cond3	Tada2b	0	NA	NS
44668	Cell1 - Cond1 vs Cond2	Traj23	0.01	NA	NS
297306	Cell2 - Cond1 vs Cond4	Gm2979	0.07	NA	NS
183081	Cell2 - Cond1 vs Cond2	Gm34379	0	NA	NS
190509	Cell2 - Cond1 vs Cond2	Igkv5-45	-0.01	NA	NS
70372	Cell1 - Cond1 vs Cond3	Ttc13	-0.03	0.904795432816	NS
306428	Cell2 - Cond1 vs Cond4	Vmn1r165	NA	NA	NS
121453	Cell1 - Cond2 vs Cond3	Plekhd1	0.27	0.440977470256469	NS
66428	Cell1 - Cond1 vs Cond3	Gm6109	0.37	0.494682291306332	NS
34950	Cell1 - Cond1 vs Cond2	Gm9775	NA	NA	NS
337802	Cell2 - Cond2 vs Cond3	Hnrnpl	0.38	0.110198435776298	NS
267924	Cell2 - Cond1 vs Cond3	Tmem249	0.09	NA	NS
133221	Cell1 - Cond2 vs Cond3	2410024N13Rik	-0.04	NA	NS
311114	Cell2 - Cond1 vs Cond4	Olfr866	0.01	NA	NS
177792	Cell2 - Cond1 vs Cond2	Scarna6	0	NA	NS
277381	Cell2 - Cond1 vs Cond4	Gstm6	-1.22	2.09124887416801e-06	Downregulated
140564	Cell1 - Cond2 vs Cond3	Vmn1r72	0.06	NA	NS
247708	Cell2 - Cond1 vs Cond3	Tmem211	0.04	NA	NS
278742	Cell2 - Cond1 vs Cond4	Sh3yl1	-0.89	0.00329346087653713	NS
400062	Cell2 - Cond2 vs Cond4	Map1a	0.13	0.801268620760004	NS
418484	Cell2 - Cond2 vs Cond4	Olfr567-ps1	0	NA	NS
328362	Cell2 - Cond1 vs Cond4	Foxp3	0	NA	NS
8025	Cell1 - Cond1 vs Cond2	Gm4936	-0.2	0.582683502373917	NS
426677	Cell2 - Cond2 vs Cond4	Dhx58os	0.02	NA	NS
120857	Cell1 - Cond2 vs Cond3	Tent5b	0.33	0.382842415509084	NS
249211	Cell2 - Cond1 vs Cond3	Igkv2-137	NA	NA	NS
463990	Cell2 - Cond4 vs Cond3	Gsx1	0	NA	NS
120770	Cell1 - Cond2 vs Cond3	Trim5	-0.37	0.376702796696905	NS
273610	Cell2 - Cond1 vs Cond3	Gm14599	NA	NA	NS
92698	Cell1 - Cond1 vs Cond3	Gm47922	0.03	NA	NS
409881	Cell2 - Cond2 vs Cond4	Tcp1-ps1	0.07	NA	NS
58700	Cell1 - Cond1 vs Cond3	Rplp0	-0.53	0.00496341534142888	NS
353824	Cell2 - Cond2 vs Cond3	Gm5711	0.12	NA	NS
226874	Cell2 - Cond1 vs Cond3	Gm45745	-0.65	0.0483650619619928	NS
50577	Cell1 - Cond1 vs Cond2	AC118642.2	-0.01	NA	NS
232140	Cell2 - Cond1 vs Cond3	Shkbp1	0.35	0.436265575458962	NS
123199	Cell1 - Cond2 vs Cond3	Nap1l3	-0.17	0.606739056122391	NS
109699	Cell1 - Cond1 vs Cond3	Gm21745	NA	NA	NS
210184	Cell2 - Cond1 vs Cond2	Gm27263	NA	NA	NS
233564	Cell2 - Cond1 vs Cond3	Rsph1	-0.42	0.589349225083769	NS
61793	Cell1 - Cond1 vs Cond3	Gm47889	-0.99	0.0941288766154139	NS
48440	Cell1 - Cond1 vs Cond2	Gm10505	-0.12	NA	NS
403324	Cell2 - Cond2 vs Cond4	Gm37717	0	NA	NS
119140	Cell1 - Cond2 vs Cond3	Scyl1	0.37	0.233516472315553	NS
445884	Cell2 - Cond4 vs Cond3	9030625G05Rik	0.01	0.7849158407455	NS
